A,B
721457446580647751014191829380889690493307935711,1
247512291986854564435551364600938690683113101007,2
594179275863704165266696689399235767493667371625,3
176962662172908264953938498278848696642639144728,4
1288347612158191397270705234830805381732297126518,5
1310124058894944929521848911038157567604058624321,6
1210930943336347771396396330116102456817544228795,7
1381361261798203246580542980370498909557765886732,8
1415423504574255296930931179255312220594282101340,9
438493470457777319106189319340316952950964163880,10
352013354745560730472686634242193840198740561481,11
1254600453553104082681254966768009409197363664790,12
598845349040408108770863644888157494528368304977,13
516737764636369516692659538416351850289554947368,14
771895810687963905769874624667927676795316213103,15
1432322883788774024356655497921250670512049273215,16
212251353095502180211478430253972563832397912525,17
691354772193923518075729904095358151930570851146,18
432838650882027051811063918975793225957765901003,19
737121093359405832535379807975140240152682619223,20
122653743613793654666336190377846534347664888548,21
318859604781763366995416631460602143240123308620,22
341294132264860029931233381982723245787162032600,23
1398049134260660799231432573949858283976270794866,24
881023781291131833172280899939503925986672386205,25
1116608762146616688954263172228307095807179101630,26
170002106119987089210859000191452460186869872269,27
567615844804353770466570614629905181917154153053,28
425196825543761682324714584755695254786197583038,29
944155067835228835774655300966011417443857705382,30
611081384090429454326837368563280539238260158824,31
290611976227214335264076796624989662389928542888,32
52747694443232974297638238828263679376395256111,33
111511081724441307295647654112077241169814585165,34
717919880403701428660278508871388020484872749068,35
841198495277559502448856164161369354286581571126,36
1238336210563540054664966569922836679559624889447,37
1035799310956349191650657354546891053433583610961,38
1406436132118594421176974000974671636397045910894,39
1233673237836652057001104074010198861333247547762,40
1385449914850405627738940926847868671011221017718,41
994747034402581607218274805850486004397748075470,42
1342686568901769735382943181135603194565205534495,43
903147551733337235935361206245369801033520538096,44
617373377502313848941625423660215926216254376983,45
1051778605252185925074304815963423137936143240651,46
566985921553467454751221766672052262808522983642,47
589372762215196875578409124177000868846596188764,48
1395536763117734669727177353641525752874705286813,49
518928337751030852688527804209061676686866409197,50
246417541658919747584176799350923813021529926720,51
317363506722412334304220597822907534099153400920,52
1316069835232930605062179686057881022157764528638,53
946976346677072440671864513042111673751827890996,54
922852720195516495963527921650290305890796704639,55
931917230216075066762950979804360872173349859165,56
1424403870991685762067367153871867296315730485107,57
923305188839479675222488371537111063436727885386,58
310696830950280081825194381857390183767944645134,59
1341932615967148446784993749754058540614520773361,60
1251670453080082838521115156792978749395788391085,61
1053578606572729182878308531253646960330108527002,62
290451439284256480664336633276813585076360161637,63
1283748361566816177792711849688448323762832688652,64
670357713913452192240166306864332963763264650505,65
635405813377168679177359801875723630636765919354,66
440215535931983754190912436409236384866616808792,67
1005232356970124031708636482474394410958301892900,68
109322635580260385880466364344770423654200505121,69
1425168426101435366639801213103428841179307457513,70
698640531335043529920242191681591394205238905324,71
965874140127143108940639020393357818731351075039,72
759580239676200927175617247769861055133138117891,73
1014589868323410789318666395452025280359719670593,74
1458743301416908955247185964598545231960397105911,75
152871031258485205470212528811273602073109161892,76
1111343911765384780424121184950937588087963579063,77
777783257334453260230682500052516388513052552566,78
105405232967742861797294590963576537072552218487,79
64686538691674028996439178016769273883137933722,80
1003810743360773246577936062579874617179418554265,81
668766067308919775797298999772490382547913996655,82
983080871843046659613344595945163498401663232808,83
1452228937559335515109655596177724856776784744492,84
529307133190201082769226301017061639534067122623,85
757673677818968639236101348879529881954434931038,86
760380358394352537379189216703374347016398897191,87
530253426248754762043505146488278936054961519844,88
230229810689446764342156736933324558734241974918,89
731518953087814918471450512722676264867859838479,90
706903832825013608144871269556204604042585979620,91
1034771334623202853243364428027756312964083998773,92
954194773062029298059399284360012865716032944052,93
1183372528387472496891206150469938970589628943231,94
875104221369999350500264675748735792617880981038,95
313519800705198018212294000854356051133589647665,96
388516933566739835135236000186884112091703129688,97
215078223044628911879104505718068028890715703880,98
210351872874004429171528854556504185752692515106,99
1242475235351988208123055281905907185244541841081,100
1317064453908861503093592744126318198394025057168,101
1317064453908861503093592744126318198394025057168,101
780724785664453826696293983305101350872945586027,102
651934705431601021727929364925091963871301146516,103
24150054033034878167375930677454229744080492163,104
71843515857289435313844717402188031909709481504,105
373921764971904829930876398656459010421480575372,106
1225854005103169177775762178530072881650921114744,107
834234844391161520578078738648166529652004049678,108
876262345870822062989205346755769380952497021666,109
1058336791551990566558849049131673755791682886646,110
29516576248942893168913085871771165064227202115,111
810460468455674029841116303771507932791133704220,112
82671981181191599829219360648424662536239529014,113
1437154899696016671522825009905487642800429492206,114
558808799832628019727983106714014247050010586540,115
776350127246310847532628985760234657751714182960,116
244395037152572944544204874977719531904656045128,117
131795610388259810254300878556026215996274126681,118
506554716530378099665711495270040950743135217704,119
212401461996073929259764762279367341897167211544,120
914080574704869870800875713832171139227614398273,121
771630158561742868989455748717958044677549368073,122
617150975978942396224587259588930969610335209081,123
112772758407244273848855625666634014228533638585,124
1328879311336260244564701944823517779764989565940,125
568642323578970417286063558310642274238007197534,126
1022098835209967898747525259163185145179835406996,127
1133994319956752155708640631949614757327833255014,128
1188108228166041869589429164543738066346415843695,129
5306429046467261674552683527698737070721291167,130
1403500361925497031997721714941417090675967752599,131
994730634440591515692306532570679127593569935604,132
78693139224426609781924833843543545920718874485,133
1269226291513610138949756920243532426210451855226,134
602391742878663441072525608512171920452399146821,135
887656023525267700087116432071877052880771824505,136
929595166951448181922313146881825197286466045005,137
1009115163471071403168556552263878669851364860870,138
751392125688042731326786103398463931078260261609,139
240076892992290735268460080820631479465339128960,140
941822284262318594076723826349628640494167663428,141
1251013732845694505373207722670160119971310485783,142
189302385582499051287640479637133296085578923702,143
65003034020184645951698486302912361013599284588,144
842162818612764613185877700904118981940416647668,145
576017338167635385238228670774777472815006254337,146
756531052338307164772190828036615738058765853679,147
547351360216620465051387260895605769131554959552,148
232437999228374450956527563470077147965742820126,149
223306219768351367357957361361651877468249384867,150
1267135154948859081929103545365246292539411331776,151
1310330500681472104798397908880310364034324705078,152
226056601421226598060146009666265879754891618565,153
722753386114618308847426461877217038235395142862,154
1388649239780716035745036996846097667293826353311,155
1363142003625812446974047712121641586658341831267,156
182731679290090099459940046077107329527681635674,157
342391091992971775121272887452552812000624136553,158
1009583045907868505298254656066692980134382348882,159
142261228656247606193789634244898305437001313185,160
